Designator,Mid X,Mid Y,Rotation,Layer
B1,26.76,102.15,90.0,top
B2,26.77,106.15,90.0,top
B3,26.92,110.3,90.0,top
B4,26.97,114.15,90.0,top
D1,24.55,76.35,90.0,top
J1,13.02,70.425,90.0,top
J2,13.02,85.625,90.0,top
J3,11.955,110.3,90.0,top
J4,11.99,89.975,270.0,top
J5,25.67,70.1,270.0,top
LED1,28.0,76.43,90.0,top
R2,24.6,82.1,90.0,top
R6,27.95,82.075,90.0,top
R7,6.825,78.6,0.0,top
R8,6.37,75.3,180.0,top
SW2,26.43,93.195,270.0,top
U3,16.68,62.9,90.0,top
U5,11.21,66.7,270.0,bottom
U6,13.74,114.075,270.0,top
