Designator,Footprint,Quantity,Value,LCSC Part #
"B1, B2, B3, B4",PinSocket_1x02_P2.54mm_Vertical,4,Bat_conn,
D1,LED_D1.8mm_W3.3mm_H2.4mm,1,LED_vis,
J1,PinSocket_1x07_P2.54mm_Vertical,1,esp32 esq,
J2,PinSocket_1x07_P2.54mm_Vertical,1,esp32 dir,
J3,PinSocket_1x06_P2.54mm_Vertical,1,amp_analog,
J4,PinSocket_1x04_P2.54mm_Vertical,1,amp_dig,
J5,PinHeader_1x02_P2.54mm_Vertical,1,input_bat4_ESp32,
LED1,LED_D1.8mm_W3.3mm_H2.4mm,1,power_bat_indic,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,1kΩ,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,270Ω,
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,220kΩ,
SW2,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x02,
U3,PinSocket_1x10_P2.54mm_Vertical,1,MPU-9250,
U5,PinSocket_1x06_P2.54mm_Vertical,1,MicroSD,
U6,PinSocket_1x04_P2.54mm_Vertical,1,LOAD_CELL_input,
